módulo,tipo,descrição,complementos,conclusão,frase completa
Dermatologia,Lesão cística superficial,"Formação nodular anecoica circunscrita na derme/subcutâneo, com trato conectando à bainha tendínea/articulação.",Discreto reforço acústico posterior e vascularização ausente ao Doppler.,Achados sugestivos de cisto sinovial.,"Formação nodular anecoica circunscrita na derme/subcutâneo, com trato conectando à bainha tendínea/articulação. Discreto reforço acústico posterior e vascularização ausente ao Doppler. Achados sugestivos de cisto sinovial."
Dermatologia,Lesão sólida heterogênea,"Formação nodular heterogênea com calcificação periférica determinando sombra acústica posterior, localizada na transição da derme com o subcutâneo.",Vascularização central e periférica ao Doppler.,Achados compatíveis com pilomatricoma.,"Formação nodular heterogênea com calcificação periférica determinando sombra acústica posterior, localizada na transição da derme com o subcutâneo. Vascularização central e periférica ao Doppler. Achados compatíveis com pilomatricoma."
Dermatologia,Lesão dérmica sólida,"Estrutura dérmica hipoecogênica mal definida, com distorção dos folículos pilosos.",Vascularização escassa/intensa ao Doppler.,Achados sugestivos de dermatofibroma.,"Estrutura dérmica hipoecogênica mal definida, com distorção dos folículos pilosos. Vascularização escassa/intensa ao Doppler. Achados sugestivos de dermatofibroma."
Dermatologia,Lesão neural benigna,"Nódulo hipoecoico fusiforme circunscrito, restrito à derme/subcutâneo ou subfascial.",Discreta vascularização interna ao Doppler.,Achados compatíveis com neurofibroma.,"Nódulo hipoecoico fusiforme circunscrito, restrito à derme/subcutâneo ou subfascial. Discreta vascularização interna ao Doppler. Achados compatíveis com neurofibroma."
Dermatologia,Lesão neural benigna,"Lesão nodular bem delimitada, hipoecogênica, encapsulada, excêntrica ao nervo.",Discreta vascularização interna e sinal do alvo.,Achados sugestivos de schwannoma.,"Lesão nodular bem delimitada, hipoecogênica, encapsulada, excêntrica ao nervo. Discreta vascularização interna e sinal do alvo. Achados sugestivos de schwannoma."
Dermatologia,Lesão metastática,"Linfonodo alterado, com espessamento cortical assimétrico ou nodular, hilo deslocado ou ausente.",Vascularização aumentada ao Doppler.,Achados sugestivos de metástase linfonodal.,"Linfonodo alterado, com espessamento cortical assimétrico ou nodular, hilo deslocado ou ausente. Vascularização aumentada ao Doppler. Achados sugestivos de metástase linfonodal."
Dermatologia,Lesão metastática,"Nódulo hipoecogênico com reforço acústico posterior, irregular, com banda hipoecoica periférica.",Vascularização variável ao Doppler.,Achados compatíveis com satelitose ou metástase em trânsito.,"Nódulo hipoecogênico com reforço acústico posterior, irregular, com banda hipoecoica periférica. Vascularização variável ao Doppler. Achados compatíveis com satelitose ou metástase em trânsito."
Dermatologia,Lesão vascular,Estruturas vasculares ectasiadas anecogênicas no subcutâneo.,Fluxo arterial e venoso evidente ao Doppler.,Achados compatíveis com malformação arteriovenosa.,Estruturas vasculares ectasiadas anecogênicas no subcutâneo. Fluxo arterial e venoso evidente ao Doppler. Achados compatíveis com malformação arteriovenosa.
Dermatologia,Lesão inflamatória,"Áreas de espessamento e hipoecogenicidade da derme, perda da interface derme-hipoderme.",Aumento da vascularização ao Doppler.,Achados compatíveis com morfeia.,"Áreas de espessamento e hipoecogenicidade da derme, perda da interface derme-hipoderme. Aumento da vascularização ao Doppler. Achados compatíveis com morfeia."
Dermatologia,Lesão inflamatória,"Espessamento dérmico, hipoecogenicidade difusa.",Aumento da vascularização ao Doppler.,Achados compatíveis com esclerodermia localizada.,"Espessamento dérmico, hipoecogenicidade difusa. Aumento da vascularização ao Doppler. Achados compatíveis com esclerodermia localizada."
Dermatologia,Lesão inflamatória,"Espessamento dérmico com pseudocistos, coleções líquidas e tratos fistulosos.",Aumento da vascularização ao Doppler.,Achados sugestivos de hidradenite supurativa.,"Espessamento dérmico com pseudocistos, coleções líquidas e tratos fistulosos. Aumento da vascularização ao Doppler. Achados sugestivos de hidradenite supurativa."
Dermatologia,Patologia ungueal,Insinuação medial ou lateral da placa ungueal no periníquio.,Espessamento das partes moles e aumento da vascularização ao Doppler.,Achados compatíveis com onicocriptose.,Insinuação medial ou lateral da placa ungueal no periníquio. Espessamento das partes moles e aumento da vascularização ao Doppler. Achados compatíveis com onicocriptose.
Dermatologia,Patologia ungueal,Espessamento da prega proximal ungueal com halo hipoecogênico ao redor da placa ungueal proximal.,Sem vascularização significativa.,Achados sugestivos de retroníquia.,Espessamento da prega proximal ungueal com halo hipoecogênico ao redor da placa ungueal proximal. Sem vascularização significativa. Achados sugestivos de retroníquia.
Dermatologia,Patologia ungueal,Coleção líquida anecoica periungueal.,Aumento da vascularização periférica ao Doppler.,Achados compatíveis com abscesso ungueal.,Coleção líquida anecoica periungueal. Aumento da vascularização periférica ao Doppler. Achados compatíveis com abscesso ungueal.
Dermatologia,Lesão metastática,"Nódulo dérmico ou subcutâneo irregular, hipoecogênico, com reforço acústico posterior e halo inflamatório periférico.","Vascularização variável ao Doppler, podendo haver múltiplas lesões alinhadas ao trajeto linfático.",Achados compatíveis com metástases em trânsito.,"Nódulo dérmico ou subcutâneo irregular, hipoecogênico, com reforço acústico posterior e halo inflamatório periférico. Vascularização variável ao Doppler, podendo haver múltiplas lesões alinhadas ao trajeto linfático. Achados compatíveis com metástases em trânsito."
Dermatologia,Patologia ungueal inflamatória,Espessamento e aumento da ecogenicidade do leito ungueal com perda da definição das interfaces entre a lâmina e o leito.,Aumento da vascularização ao Doppler colorido.,Achados compatíveis com psoríase ungueal.,Espessamento e aumento da ecogenicidade do leito ungueal com perda da definição das interfaces entre a lâmina e o leito. Aumento da vascularização ao Doppler colorido. Achados compatíveis com psoríase ungueal.
Dermatologia,Tumor ungueal benigno,"Lesão nodular sólida, excêntrica, localizada na matriz ungueal, com pontos hiperecogênicos internos.",Fluxo vascular interno escasso ao Doppler.,Achados compatíveis com onicomatricoma.,"Lesão nodular sólida, excêntrica, localizada na matriz ungueal, com pontos hiperecogênicos internos. Fluxo vascular interno escasso ao Doppler. Achados compatíveis com onicomatricoma."
Dermatologia,Depósito de preenchedor permanente,"Depósitos hiperecogênicos lineares ou irregulares na derme e subcutâneo, com artefatos cometiformes e reforço acústico posterior.",Ausência de vascularização interna. Distribuição homogênea ou agrupada.,Achados compatíveis com polimetilmetacrilato.,"Depósitos hiperecogênicos lineares ou irregulares na derme e subcutâneo, com artefatos cometiformes e reforço acústico posterior. Ausência de vascularização interna. Distribuição homogênea ou agrupada. Achados compatíveis com polimetilmetacrilato."
Dermatologia,Lesão cística superficial,"Imagem anecoica, bem delimitada, ovalada, localizada na derme profunda, sem reforço posterior, compatível com cisto epidérmico.",Ausência de vascularização ao Doppler. Compressível à pressão leve.,Achados compatíveis com cisto epidérmico.,"Imagem anecoica, bem delimitada, ovalada, localizada na derme profunda, sem reforço posterior, compatível com cisto epidérmico. Ausência de vascularização ao Doppler. Compressível à pressão leve. Achados compatíveis com cisto epidérmico."
Dermatologia,Lesão sólida hiperecogênica,"Lesão sólida, hiperecogênica, homogênea, bem delimitada, na derme média, medindo 8 x 5 x 4 mm, sem halo ou sombra posterior.",Sem fluxo ao Doppler. Compressível. Localizada na região zigomática.,Provável lipoma subcutâneo superficial.,"Lesão sólida, hiperecogênica, homogênea, bem delimitada, na derme média, medindo 8 x 5 x 4 mm, sem halo ou sombra posterior. Sem fluxo ao Doppler. Compressível. Localizada na região zigomática. Provável lipoma subcutâneo superficial."
Dermatologia,Preenchedor estético,"Material ecogênico em faixa linear, heterogêneo, com reforço posterior discreto, distribuído em plano subcutâneo da região malar.",Sem sinais de inflamação ativa ou coleções adjacentes. Fluxo periférico fisiológico.,"Compatível com ácido hialurônico em distribuição esperada, sem complicações.","Material ecogênico em faixa linear, heterogêneo, com reforço posterior discreto, distribuído em plano subcutâneo da região malar. Sem sinais de inflamação ativa ou coleções adjacentes. Fluxo periférico fisiológico. Compatível com ácido hialurônico em distribuição esperada, sem complicações."
Dermatologia,Tumor cutâneo,"Lesão sólida, hipoecogênica, ovalada, com margens irregulares e halo hipoecogênico periférico, medindo 12 x 7 x 6 mm na derme profunda.",Vascularização central ao Doppler. Localizada no dorso nasal.,Achados suspeitos para carcinoma basocelular. Correlação clínica e histológica recomendadas.,"Lesão sólida, hipoecogênica, ovalada, com margens irregulares e halo hipoecogênico periférico, medindo 12 x 7 x 6 mm na derme profunda. Vascularização central ao Doppler. Localizada no dorso nasal. Achados suspeitos para carcinoma basocelular. Correlação clínica e histológica recomendadas."
